###################################
#####      Build Network      #####
###################################
---------------- Network initialized ----------------
[Network netG] Total number of parameters: 11.388 M
[Network netD] Total number of parameters: 2.765 M
-----------------------------------------------------

###################################
#####      Start Traning      #####
###################################
===========REUSING EARLIER RESULT============
Epoch: 17/20  |  Step: 3700/12886  |  lr: 0.000200  |  G_loss: 2.047724  |  D_loss: 0.490725  |  Idt_loss: 1.750851  |  Time: 0.755
Epoch: 17/20  |  Step: 3800/12886  |  lr: 0.000200  |  G_loss: 2.428456  |  D_loss: 0.444500  |  Idt_loss: 2.091547  |  Time: 0.709
Epoch: 17/20  |  Step: 3900/12886  |  lr: 0.000200  |  G_loss: 2.247796  |  D_loss: 0.557699  |  Idt_loss: 2.001646  |  Time: 0.793
Epoch: 17/20  |  Step: 4000/12886  |  lr: 0.000200  |  G_loss: 2.590217  |  D_loss: 0.505533  |  Idt_loss: 2.288952  |  Time: 0.778
Epoch: 17/20  |  Step: 4100/12886  |  lr: 0.000200  |  G_loss: 2.343376  |  D_loss: 0.513365  |  Idt_loss: 2.085373  |  Time: 0.808
Epoch: 17/20  |  Step: 4200/12886  |  lr: 0.000200  |  G_loss: 2.234486  |  D_loss: 0.540228  |  Idt_loss: 1.921480  |  Time: 0.638
Epoch: 17/20  |  Step: 4300/12886  |  lr: 0.000200  |  G_loss: 2.190428  |  D_loss: 0.492985  |  Idt_loss: 1.928297  |  Time: 0.760
Epoch: 17/20  |  Step: 4400/12886  |  lr: 0.000200  |  G_loss: 2.093664  |  D_loss: 0.450050  |  Idt_loss: 1.805722  |  Time: 0.708
Epoch: 17/20  |  Step: 4500/12886  |  lr: 0.000200  |  G_loss: 2.073492  |  D_loss: 0.518281  |  Idt_loss: 1.814619  |  Time: 0.669
Epoch: 17/20  |  Step: 4600/12886  |  lr: 0.000200  |  G_loss: 2.116355  |  D_loss: 0.497005  |  Idt_loss: 1.865303  |  Time: 0.734
Epoch: 17/20  |  Step: 4700/12886  |  lr: 0.000200  |  G_loss: 2.127985  |  D_loss: 0.500611  |  Idt_loss: 1.841073  |  Time: 0.701
Epoch: 17/20  |  Step: 4800/12886  |  lr: 0.000200  |  G_loss: 2.161065  |  D_loss: 0.485205  |  Idt_loss: 1.846781  |  Time: 0.679
Epoch: 17/20  |  Step: 4900/12886  |  lr: 0.000200  |  G_loss: 2.405801  |  D_loss: 0.486622  |  Idt_loss: 2.146821  |  Time: 0.735
Epoch: 17/20  |  Step: 5000/12886  |  lr: 0.000200  |  G_loss: 2.265965  |  D_loss: 0.538951  |  Idt_loss: 2.020212  |  Time: 0.624
Epoch: 17/20  |  Step: 5100/12886  |  lr: 0.000200  |  G_loss: 2.296885  |  D_loss: 0.489346  |  Idt_loss: 1.963582  |  Time: 0.797
Epoch: 17/20  |  Step: 5200/12886  |  lr: 0.000200  |  G_loss: 2.099522  |  D_loss: 0.457702  |  Idt_loss: 1.774605  |  Time: 0.702
Epoch: 17/20  |  Step: 5300/12886  |  lr: 0.000200  |  G_loss: 2.115525  |  D_loss: 0.478757  |  Idt_loss: 1.805986  |  Time: 0.746
Epoch: 17/20  |  Step: 5400/12886  |  lr: 0.000200  |  G_loss: 2.083175  |  D_loss: 0.448578  |  Idt_loss: 1.785638  |  Time: 0.773
Epoch: 17/20  |  Step: 5500/12886  |  lr: 0.000200  |  G_loss: 2.174878  |  D_loss: 0.524479  |  Idt_loss: 1.846301  |  Time: 0.760
Epoch: 17/20  |  Step: 5600/12886  |  lr: 0.000200  |  G_loss: 2.163037  |  D_loss: 0.499020  |  Idt_loss: 1.925450  |  Time: 0.796
Epoch: 17/20  |  Step: 5700/12886  |  lr: 0.000200  |  G_loss: 2.239842  |  D_loss: 0.476619  |  Idt_loss: 1.949218  |  Time: 0.715
Epoch: 17/20  |  Step: 5800/12886  |  lr: 0.000200  |  G_loss: 2.287910  |  D_loss: 0.489566  |  Idt_loss: 1.978537  |  Time: 0.655
Epoch: 17/20  |  Step: 5900/12886  |  lr: 0.000200  |  G_loss: 2.293879  |  D_loss: 0.487797  |  Idt_loss: 1.925030  |  Time: 0.794
Epoch: 17/20  |  Step: 6000/12886  |  lr: 0.000200  |  G_loss: 2.217856  |  D_loss: 0.508330  |  Idt_loss: 1.942845  |  Time: 0.618
Epoch: 17/20  |  Step: 6100/12886  |  lr: 0.000200  |  G_loss: 2.003765  |  D_loss: 0.497538  |  Idt_loss: 1.755223  |  Time: 0.780
